circuit_type,mitigated,query_name,shots,row_index,column_index,win_probability,row_product_expectation,column_product_expectation,fidelity,trace_distance,success_probability,failure_probability,raw_scale_factor_dists
contextuality-high,False,R3C1,8192,3,1,0.8011474609375,1.0,-1.0,0.8005641343580869,0.19885253906249978,0.8011474609375,0.1988525390625,{}
contextuality-high,False,R3C2,8192,3,2,0.7669677734375,1.0,-1.0,0.7665066390450749,0.23303222656249978,0.7669677734375,0.2330322265625,{}
contextuality-high,False,R3C3,8192,3,3,0.7855224609375,1.0,-1.0,0.7852653807264496,0.21447753906249978,0.7855224609375,0.2144775390625,{}
baseline,False,R1C1,8192,1,1,0.8946533203125,1.0,-1.0,0.8944377180249642,0.10534667968749883,0.8946533203125,0.1053466796875,{}
baseline,False,R1C2,8192,1,2,0.751220703125,1.0,-1.0,0.750799133783031,0.24877929687499883,0.751220703125,0.248779296875,{}
baseline,False,R1C3,8192,1,3,0.7686767578125,1.0,-1.0,0.7680668538225985,0.23132324218749886,0.7686767578125,0.2313232421875,{}
baseline,False,R2C1,8192,2,1,0.696044921875,1.0,-1.0,0.6956845140838098,0.30395507812499883,0.696044921875,0.303955078125,{}
baseline,False,R2C2,8192,2,2,0.692626953125,1.0,-1.0,0.6920696274579126,0.30737304687499883,0.692626953125,0.307373046875,{}
baseline,False,R2C3,8192,2,3,0.748291015625,1.0,-1.0,0.7480386589034868,0.2517089843749989,0.748291015625,0.251708984375,{}
baseline,False,R3C1,8192,3,1,0.7686767578125,1.0,-1.0,0.767908864331602,0.23132324218749867,0.7686767578125,0.2313232421875,{}
baseline,False,R3C2,8192,3,2,0.6917724609375,1.0,-1.0,0.6916486097146304,0.30822753906249867,0.6917724609375,0.3082275390625,{}
baseline,False,R3C3,8192,3,3,0.7723388671875,1.0,-1.0,0.7716555688793884,0.22766113281249867,0.7723388671875,0.2276611328125,{}
contextuality-low,True,R1C1,8192,1,1,0.9439697265625,1.0,-1.0,0.9412945936864476,0.07949829101562475,0.9439697265625,0.056030273437500076,"{""1"": {""0000"": 0.1123046875, ""0001"": 0.103759765625, ""0010"": 0.01123046875, ""0011"": 0.0137939453125, ""0100"": 0.11376953125, ""0101"": 0.108642578125, ""0110"": 0.0145263671875, ""0111"": 0.0135498046875, ""1000"": 0.01318359375, ""1001"": 0.011962890625, ""1010"": 0.118896484375, ""1011"": 0.1202392578125, ""1100"": 0.0128173828125, ""1101"": 0.01171875, ""1110"": 0.107421875, ""1111"": 0.1121826171875}, ""3"": {""0000"": 0.1143798828125, ""0001"": 0.1031494140625, ""0010"": 0.0211181640625, ""0011"": 0.0172119140625, ""0100"": 0.105712890625, ""0101"": 0.111328125, ""0110"": 0.0216064453125, ""0111"": 0.0230712890625, ""1000"": 0.01904296875, ""1001"": 0.021728515625, ""1010"": 0.110595703125, ""1011"": 0.0955810546875, ""1100"": 0.01806640625, ""1101"": 0.0225830078125, ""1110"": 0.103271484375, ""1111"": 0.091552734375}, ""5"": {""0000"": 0.1134033203125, ""0001"": 0.100830078125, ""0010"": 0.026123046875, ""0011"": 0.021728515625, ""0100"": 0.1031494140625, ""0101"": 0.1058349609375, ""0110"": 0.0240478515625, ""0111"": 0.02392578125, ""1000"": 0.0201416015625, ""1001"": 0.0235595703125, ""1010"": 0.0975341796875, ""1011"": 0.098876953125, ""1100"": 0.0225830078125, ""1101"": 0.021484375, ""1110"": 0.104736328125, ""1111"": 0.092041015625}}"
contextuality-low,True,R1C2,8192,1,2,0.8953399658203125,1.0,-1.0,0.8946423351027706,0.104660034179687,0.8953399658203125,0.10466003417968772,"{""1"": {""0000"": 0.1031494140625, ""0001"": 0.0255126953125, ""0010"": 0.098388671875, ""0011"": 0.0263671875, ""0100"": 0.0963134765625, ""0101"": 0.028564453125, ""0110"": 0.0997314453125, ""0111"": 0.0272216796875, ""1000"": 0.0242919921875, ""1001"": 0.1036376953125, ""1010"": 0.0277099609375, ""1011"": 0.0960693359375, ""1100"": 0.027587890625, ""1101"": 0.093505859375, ""1110"": 0.02685546875, ""1111"": 0.0950927734375}, ""3"": {""0000"": 0.0845947265625, ""0001"": 0.049072265625, ""0010"": 0.0806884765625, ""0011"": 0.044677734375, ""0100"": 0.088134765625, ""0101"": 0.0460205078125, ""0110"": 0.07666015625, ""0111"": 0.047119140625, ""1000"": 0.0421142578125, ""1001"": 0.08203125, ""1010"": 0.043701171875, ""1011"": 0.0787353515625, ""1100"": 0.046630859375, ""1101"": 0.0711669921875, ""1110"": 0.0460205078125, ""1111"": 0.0726318359375}, ""5"": {""0000"": 0.0753173828125, ""0001"": 0.0543212890625, ""0010"": 0.0726318359375, ""0011"": 0.0513916015625, ""0100"": 0.0760498046875, ""0101"": 0.0548095703125, ""0110"": 0.0758056640625, ""0111"": 0.0531005859375, ""1000"": 0.05615234375, ""1001"": 0.0693359375, ""1010"": 0.0521240234375, ""1011"": 0.0673828125, ""1100"": 0.0545654296875, ""1101"": 0.0697021484375, ""1110"": 0.0499267578125, ""1111"": 0.0673828125}}"
contextuality-low,True,R1C3,8192,1,3,0.887359619140625,1.0,-1.0,0.8845165364228079,0.11956787109374949,0.887359619140625,0.11264038085937515,"{""1"": {""0000"": 0.0263671875, ""0001"": 0.09375, ""0010"": 0.1119384765625, ""0011"": 0.0257568359375, ""0100"": 0.031005859375, ""0101"": 0.0968017578125, ""0110"": 0.100341796875, ""0111"": 0.0264892578125, ""1000"": 0.096435546875, ""1001"": 0.0244140625, ""1010"": 0.02490234375, ""1011"": 0.10009765625, ""1100"": 0.088623046875, ""1101"": 0.0245361328125, ""1110"": 0.0250244140625, ""1111"": 0.103515625}, ""3"": {""0000"": 0.048828125, ""0001"": 0.0838623046875, ""0010"": 0.087890625, ""0011"": 0.0401611328125, ""0100"": 0.0482177734375, ""0101"": 0.0826416015625, ""0110"": 0.082275390625, ""0111"": 0.040771484375, ""1000"": 0.08984375, ""1001"": 0.04638671875, ""1010"": 0.036376953125, ""1011"": 0.0748291015625, ""1100"": 0.075439453125, ""1101"": 0.0406494140625, ""1110"": 0.046630859375, ""1111"": 0.0751953125}, ""5"": {""0000"": 0.05126953125, ""0001"": 0.073974609375, ""0010"": 0.0821533203125, ""0011"": 0.05029296875, ""0100"": 0.0604248046875, ""0101"": 0.0782470703125, ""0110"": 0.0758056640625, ""0111"": 0.051025390625, ""1000"": 0.0738525390625, ""1001"": 0.0501708984375, ""1010"": 0.0565185546875, ""1011"": 0.063232421875, ""1100"": 0.0654296875, ""1101"": 0.0462646484375, ""1110"": 0.052001953125, ""1111"": 0.0693359375}}"
